Date,KBP1424D,KBP1425D,KBP1437D,KBP1438D,KBP1440D,KBP1456D,KBP1457D,KBP1481D,KBP1482D,KBP1484D
1999-06-07,,,8610,0.0,,,,-1,0,
1999-06-08,,,8800,-500.0,,,,-2,0,
1999-06-09,,,8800,-680.0,,,,-1,0,
1999-06-10,,,8800,0.0,,,,-2,0,
1999-06-11,,,8800,0.0,,,,-1,0,
1999-06-12,,,0,0.0,,,,-2,0,
1999-06-14,,,8800,0.0,,,,-1,0,
1999-06-15,,,9000,380.0,,,,-1,0,
1999-06-16,,,0,0.0,,,,0,0,
1999-06-17,,,9300,0.0,,,,-1,0,
1999-06-18,,,8900,0.0,,,,-5,0,
1999-06-19,,,0,0.0,,,,-1,0,
1999-06-21,,,8900,0.0,,,,-1,0,
1999-06-22,,,9000,0.0,,,,0,0,
1999-06-23,,,8900,298.0,,,,-1,0,
1999-06-24,,,9100,0.0,,,,0,17,
1999-06-25,,,9000,0.0,,,,-6,0,
1999-06-26,,,0,0.0,,,,0,1,
1999-06-28,,,8500,0.0,,,,-1,0,
1999-06-29,,,7785,440.0,,,,-1,0,
1999-06-30,,,9115,0.0,,,,-1,0,
1999-07-01,,,9000,0.0,,,,-1,0,
1999-07-02,,,9400,0.0,,,,0,37,
1999-07-03,,,0,0.0,,,,-1,0,
1999-07-05,,,9339,0.0,,,,0,0,
1999-07-06,,,10200,0.0,,,,-1,0,
1999-07-07,,,10500,-460.0,,,,-1,0,
1999-07-08,,,10500,0.0,,,,0,19,
1999-07-09,,,10600,0.0,,,,-1,0,
1999-07-10,,,0,0.0,,,,-1,0,
1999-07-12,,,10800,0.0,,,,-1,0,
1999-07-13,,,11400,0.0,,,,-1,0,
1999-07-14,,,11774,0.0,,,,-6,0,
1999-07-15,,,11565,398.0,,,,0,11,
1999-07-16,,,11400,0.0,,,,-2,0,
1999-07-17,,,0,0.0,,,,-1,0,
1999-07-19,,,11700,0.0,,,,-1,0,
1999-07-20,,,11900,528.0,,,,-2,0,
1999-07-21,,,11400,-500.0,,,,-3,0,
1999-07-22,,,11900,0.0,,,,-1,0,
1999-07-23,,,11478,0.0,,,,-2,0,
1999-07-24,,,0,0.0,,,,-1,0,
1999-07-26,,,11723,13.0,,,,-2,0,
1999-07-27,,,11338,0.0,,,,-9,0,
1999-07-28,,,11838,0.0,,,,-11,0,
1999-07-29,,,11888,0.0,,,,-36,0,
1999-07-30,,,12300,0.0,,,,-7,0,
